YouTube_Channel,Minimum_Age,ESRB_Category,Description,Inclusion_Criteria,Source
Patry Jordan,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Willyrex,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
Little Angel,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Little_Angel
Nathy Peluso,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
KSI,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/KSI
Logan Paul,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/Logan_Paul
Antrax,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
CrashCourse,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
Michael Reeves,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
Bon Appétit,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
ZarcortGame,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Karol G,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Khrystyian,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
PewDiePie,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/PewDiePie
Werevertumorro,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Rosalía,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Binging with Babish,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Drakonite,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
AMILCAR ABALLAY,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Game Maker's Toolkit,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Peppa Pig - Official Channel,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Peppa_Pig_-_Official_Channel
Mati Spano,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
MoistCr1TiKaL,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
CallMeCarson,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult; High Views,https://en.wikipedia.org/wiki/CallMeCarson
TED-Ed,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
Ryan's World,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Ryans_World
Jake Paul,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult; High Views,https://en.wikipedia.org/wiki/Jake_Paul
El Reino Infantil,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Marichoo,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
Lilly Singh,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Team Umizoomi Official Channel,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Team_Umizoomi_Official_Channel
National Geographic Kids,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/National_Geographic_Kids
Baby Shark Official,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Baby_Shark_Official
Mikecrack,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Nick Jr.,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Nick_Jr
Fede Vigevani,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
Pinkfong! Kids' Songs & Stories,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Pinkfong_Kids_Songs__Stories
BabyBus - Canciones Infantiles y Canciones de Cuna,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/BabyBus_-_Canciones_Infantiles_y_Canciones_de_Cuna
SSSniperWolf,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Badabun,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
eltrece,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
H3H3 Productions,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/H3H3_Productions
VanossGaming,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
PACHIC,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Daniel Tiger's Neighborhood,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Daniel_Tigers_Neighborhood
PBS Kids,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/PBS_Kids
Dave and Ava - Nursery Rhymes and Baby Songs,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Dave_and_Ava_-_Nursery_Rhymes_and_Baby_Songs
MrBallen,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/MrBallen
CaELiKe,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Sodapoppin,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Sodapoppin
Mother Goose Club,3,E,Children-focused channel with educational or entertainment content.,Children; High Views,https://en.wikipedia.org/wiki/Mother_Goose_Club
Natupuboldi,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
LEGO City,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/LEGO_City
Maximilian Dood,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Maximilian_Dood
LuzuGames,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Jerma985,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult; High Views,https://en.wikipedia.org/wiki/Jerma985
AngryJoeShow,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult; High Views,https://en.wikipedia.org/wiki/AngryJoeShow
Ivo Magia,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
Cocomelon - Nursery Rhymes,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Cocomelon_-_Nursery_Rhymes
CBeebies,3,E,Children-focused channel with educational or entertainment content.,Children; High Views,https://en.wikipedia.org/wiki/CBeebies
Onision,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Onision
Unbox Therapy,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
ChuChu TV Español,3,E,Children-focused channel with educational or entertainment content.,Children; High Views,https://en.wikipedia.org/wiki/ChuChu_TV_Espanol
Juan De Dios Pantoja,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Lyna,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Thomas & Friends,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Thomas__Friends
MILO J,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Jarabitu,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
penguinz0,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/penguinz0
Blippi - Educational Videos for Kids,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Blippi_-_Educational_Videos_for_Kids
Paulo Londra,13,T,General audience channel; standard YouTube content.,Top AR; Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
Like Nastya,3,E,Children-focused channel with educational or entertainment content.,Children; High Views,https://en.wikipedia.org/wiki/Like_Nastya
Baby Einstein,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Baby_Einstein
Mark Rober,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
AuronPlay,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
SwaggerSouls,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/SwaggerSouls
Sebastián Yatra,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Disney Junior Latinoamérica,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Disney_Junior_Latinoamerica
Ludwig,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Ludwig
Kurzgesagt – In a Nutshell,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Oddbods Official,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Oddbods_Official
Pyrocynical,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Pyrocynical
Historias Curiosas,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
JunsKitchen,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Kitty,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
LegalEagle,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Quevedo,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
Booba - Cartoon for Kids,3,E,Children-focused channel with educational or entertainment content.,Children; High Views,https://en.wikipedia.org/wiki/Booba_-_Cartoon_for_Kids
Khea,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Numberphile,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Ozuna,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Lali,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
Pocoyo - Español,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Pocoyo_-_Espanol
Linus Tech Tips,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
La Granja de Zenón,3,E,Children-focused channel with educational or entertainment content.,Top AR; Children,https://en.wikipedia.org/wiki/La_Granja_de_Zenon
RayWilliamJohnson,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/RayWilliamJohnson
Tasty,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Cazzu,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
Emma Chamberlain,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
LeafyIsHere,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/LeafyIsHere
Gordon Ramsay,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
J Balvin,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Game Grumps,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Game_Grumps
Kimberly Loaiza,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Markiplier,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Tini,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
FaZe Rug,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/FaZe_Rug
Kids Diana Show,3,E,Children-focused channel with educational or entertainment content.,Children; High Views,https://en.wikipedia.org/wiki/Kids_Diana_Show
Bad Bunny,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
MrBeast en Español,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
BabyBus - Kids TV,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/BabyBus_-_Kids_TV
NateIsLame,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/NateIsLame
Peppa Pig Español Latino,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Peppa_Pig_Espanol_Latino
ESPN Fans,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Critical Role,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult; High Views,https://en.wikipedia.org/wiki/Critical_Role
BabyFirst Español,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/BabyFirst_Espanol
The Slow Mo Guys,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
h3h3 Podcast,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/h3h3_Podcast
Los Polinesios,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
penguinz0 Highlights,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/penguinz0_Highlights
Soda Stereo,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Teletubbies - WildBrain,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Teletubbies_-_WildBrain
Discovery Kids,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
eltomicasPlays,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Q' Lokura,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Bluey - Official Channel,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Bluey_-_Official_Channel
Octonauts Official,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Octonauts_Official
Clifford the Big Red Dog - Official,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Clifford_the_Big_Red_Dog_-_Official
Maria Becerra,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
JhonCuriozon,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
Summoning Salt,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
JuegaGerman,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Fernanfloo,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Nukes Top 5,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Nukes_Top_5
Jamie Oliver,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
IamAllexx,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/IamAllexx
My Little Pony Official,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/My_Little_Pony_Official
Sargon of Akkad,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Sargon_of_Akkad
CHEBOLUDO,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
The Angry Video Game Nerd,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult; High Views,https://en.wikipedia.org/wiki/The_Angry_Video_Game_Nerd
Cuadradito y Circulito,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Smosh,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/Smosh
LowDrow,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
ArgenTrollYT,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
MrBeast,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
La Divaza,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Luisito Comunica,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
David Dobrik,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/David_Dobrik
benja calero,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
TitoSilvio,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
El Nacheto,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
Little Baby Bum,3,E,Children-focused channel with educational or entertainment content.,Children; High Views,https://en.wikipedia.org/wiki/Little_Baby_Bum
Nelk,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Nelk
Pau Bolzan,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Ciencia Mania,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
Dolan Dark,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Dolan_Dark
Anuel AA,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Santy con y,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
MatPat,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Duki,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Carolina Diaz,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Rubén Tuesta oficial,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
xQc,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/xQc
The Game Theorists,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
Barbie Official,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Barbie_Official
Ethan Klein,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Ethan_Klein
Caillou - WildBrain,3,E,Children-focused channel with educational or entertainment content.,Children; High Views,https://en.wikipedia.org/wiki/Caillou_-_WildBrain
Vsauce,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
CGP Grey,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Maluma,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Cartoonito UK,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Cartoonito_UK
Morat,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Super Simple Songs - Kids Songs,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Super_Simple_Songs_-_Kids_Songs
Maldo,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
The Infographics Show,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
HolaSoyGerman,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Alejo Igoa,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Filthy Frank,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/Filthy_Frank
Internet Historian,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult; High Views,https://en.wikipedia.org/wiki/Internet_Historian
Emir Abdul Gani,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
Veritasium,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
RiceGum,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/RiceGum
SciShow,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Corpse Husband,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult; High Views,https://en.wikipedia.org/wiki/Corpse_Husband
Hey Duggee,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Hey_Duggee
Kidz Bop Kids,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Kidz_Bop_Kids
Bizarrap,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Ibai,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
visuesp,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
Vegetta777,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
Dream,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
DrossRotzank,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Futbol Activo 2.0,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Stromedy,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Stromedy
Dude Perfect,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
Mizkif,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Mizkif
Ben and Holly's Little Kingdom,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Ben_and_Hollys_Little_Kingdom
Masha and the Bear,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Masha_and_the_Bear
Futbol Activo,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Belle Delphine,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Belle_Delphine
